Timestamp,Attempt The Questions. [Q1-Did you feel that counselling and guidance by faculty members improved your academic performance],Attempt The Questions. [Q2-Do you think counselling and guidance by faculty members is required to cope difficult schedule of medical education],Attempt The Questions. [Q3 Did vigilance of faculty members help you in improving attendance % during session],Attempt The Questions. [Q4 Did vigilance of faculty members help you in improving grades during routine module exams],Attempt The Questions. [Q5-Guidance and training  by faculty members  regarding professional written  exam (seq & mcq) and viva helped you a lot],Attempt The Questions. [Q6- Do you think that personal experiences of faculty members( shared with students  regarding studies and exams ) guide you a lot],Attempt The Questions. [Q7-Did counselling  and guidance of faculty member help you regarding  time management],Attempt The Questions. [Q8-Did counselling of faculty member help you in solving your day to day SOCIAL   problems],Attempt The Questions. [Q9- Did counselling of faculty member help you in solving your day to day domestic  problems],Attempt The Questions. [Q10- Did you find your medical teacher guiding you whenever you get detracked in studies],"Attempt The Questions. [Q11 Did  guidance of your teachers  help you in scoring (position, distinction )in professional or module exams]",Attempt The Questions. [Q12-Career Counselling of medical students should be practiced in medical colleges ?],Group
11/19/2022 16:44:56,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A
11/19/2022 16:47:19,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,A
11/19/2022 16:51:02,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A
11/19/2022 16:51:06,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,A
11/19/2022 16:52:20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A
11/19/2022 16:54:19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,A
11/19/2022 16:54:24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A
11/19/2022 16:55:59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A
11/19/2022 17:27:24,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,A
11/19/2022 17:28:24,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,A
11/19/2022 17:49:38,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,A
11/19/2022 18:29:45,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A
11/19/2022 19:50:47,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A
11/19/2022 20:21:54,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A
11/20/2022 8:59:17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,A
11/20/2022 12:32:55,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,A
11/20/2022 18:49:19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,A
11/20/2022 21:51:00,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,A
11/21/2022 15:52:26,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,A
11/21/2022 19:34:09,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,A
11/22/2022 0:54:48,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,A
11/22/2022 15:24:12,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,A
11/19/2022 11:04:51,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B
11/19/2022 11:16:13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,B
11/19/2022 11:17:02,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,B
11/19/2022 11:20:20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,B
11/19/2022 11:27:57,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B
11/19/2022 11:28:44,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,B
11/19/2022 11:29:30,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,B
11/19/2022 11:34:18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,B
11/19/2022 11:36:03,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,B
11/19/2022 11:36:40,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B
11/19/2022 11:37:17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B
11/19/2022 11:42:41,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,B
11/19/2022 11:50:54,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,B
11/19/2022 11:50:55,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B
11/19/2022 12:00:15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,B
11/19/2022 12:06:17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B
11/19/2022 12:07:54,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,B
11/19/2022 12:21:46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,B
11/19/2022 12:30:33,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,B
11/19/2022 12:31:24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B
11/19/2022 13:09:59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,B
11/19/2022 13:35:48,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,B
11/19/2022 14:07:02,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B
11/19/2022 16:34:08,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B
11/19/2022 19:25:28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,B
11/19/2022 21:30:01,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,B
11/19/2022 21:38:05,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,B
11/19/2022 23:16:58,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,B
11/19/2022 23:21:46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,B
11/19/2022 23:22:50,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,B
11/19/2022 23:37:28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,B
11/19/2022 23:44:06,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B
11/20/2022 0:14:55,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,B
11/20/2022 5:32:39,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B
11/20/2022 12:10:46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,B
11/20/2022 14:33:55,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,B
11/20/2022 18:40:28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B
11/21/2022 20:00:07,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,B
11/21/2022 20:57:32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,B
11/22/2022 7:52:54,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B
11/22/2022 12:06:54,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B
11/22/2022 15:39:00,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,B
